label,month,product,ad_spend_eur,revenue_eur,units
2024-01 | P01,2024-01,P01,4138.08,10155.83,551
2024-01 | P02,2024-01,P02,4565.76,10923.49,484
2024-01 | P03,2024-01,P03,5061.84,10075.67,513
2024-01 | P04,2024-01,P04,4463.01,11523.08,454
2024-01 | P05,2024-01,P05,5748.9,9957.87,598
2024-01 | P06,2024-01,P06,4416.36,9988.81,501
2024-01 | P07,2024-01,P07,6385.89,10496.96,383
2024-01 | P08,2024-01,P08,5589.3,11334.56,473
2024-02 | P01,2024-02,P01,6942.44,9574.07,528
2024-02 | P02,2024-02,P02,6420.56,9992.2,468
2024-02 | P03,2024-02,P03,3933.01,11168.75,550
2024-02 | P04,2024-02,P04,5025.64,11055.55,442
2024-02 | P05,2024-02,P05,4625.93,10053.04,629
2024-02 | P06,2024-02,P06,5948.12,10160.68,494
2024-02 | P07,2024-02,P07,6694.3,10521.05,377
2024-02 | P08,2024-02,P08,6542.35,11353.11,472
2024-03 | P01,2024-03,P01,5652.63,11463.19,616
2024-03 | P02,2024-03,P02,4664.74,12490.6,571
2024-03 | P03,2024-03,P03,4188.86,10118.07,522
2024-03 | P04,2024-03,P04,4049.05,11910.85,466
2024-03 | P05,2024-03,P05,4642.05,11141.86,693
2024-03 | P06,2024-03,P06,3927.45,11092.95,566
2024-03 | P07,2024-03,P07,5499.15,11925.63,420
2024-03 | P08,2024-03,P08,5582.95,11625.65,499
2024-04 | P01,2024-04,P01,4968.48,11496.48,609
2024-04 | P02,2024-04,P02,6418.01,11926.92,547
2024-04 | P03,2024-04,P03,5421.7,11571.99,579
2024-04 | P04,2024-04,P04,5787.88,12096.97,478
2024-04 | P05,2024-04,P05,5187.78,11391.54,708
2024-04 | P06,2024-04,P06,6482.42,10742.75,537
2024-04 | P07,2024-04,P07,6895.65,12046.38,438
2024-04 | P08,2024-04,P08,4365.13,12149.64,513
2024-05 | P01,2024-05,P01,5013.2,12344.82,651
2024-05 | P02,2024-05,P02,6790.8,12447.59,563
2024-05 | P03,2024-05,P03,4457.75,12677.23,625
2024-05 | P04,2024-05,P04,5244.93,12634.07,503
2024-05 | P05,2024-05,P05,4384.21,12024.58,732
2024-05 | P06,2024-05,P06,4506.07,11435.33,564
2024-05 | P07,2024-05,P07,5008.37,11553.69,406
2024-05 | P08,2024-05,P08,5991.64,12295.61,513
2024-06 | P01,2024-06,P01,6110.67,10427.24,579
2024-06 | P02,2024-06,P02,6396.6,11728.32,536
2024-06 | P03,2024-06,P03,4936.58,11639.61,592
2024-06 | P04,2024-06,P04,6340.68,12870.32,520
2024-06 | P05,2024-06,P05,5488.69,12293.62,764
2024-06 | P06,2024-06,P06,4648.59,11990.73,615
2024-06 | P07,2024-06,P07,5516.69,12367.43,436
2024-06 | P08,2024-06,P08,4038.99,12460.98,528
2024-07 | P01,2024-07,P01,4584.07,10859.17,579
2024-07 | P02,2024-07,P02,6560.11,12737.26,566
2024-07 | P03,2024-07,P03,4629.8,10565.34,541
2024-07 | P04,2024-07,P04,6999.51,13899.52,530
2024-07 | P05,2024-07,P05,3910.53,11702.6,708
2024-07 | P06,2024-07,P06,3991.73,10669.44,542
2024-07 | P07,2024-07,P07,5676.22,11105.86,394
2024-07 | P08,2024-07,P08,6425.19,11995.72,497
2024-08 | P01,2024-08,P01,6782.61,10269.54,560
2024-08 | P02,2024-08,P02,6402.77,11891.68,550
2024-08 | P03,2024-08,P03,4402.13,10825.71,550
2024-08 | P04,2024-08,P04,4724.86,12470.33,490
2024-08 | P05,2024-08,P05,6963.59,11712.36,715
2024-08 | P06,2024-08,P06,4060.06,11334.23,567
2024-08 | P07,2024-08,P07,6217.16,10472.49,370
2024-08 | P08,2024-08,P08,6879.67,11620.3,486
2024-09 | P01,2024-09,P01,4016.25,11149.79,600
2024-09 | P02,2024-09,P02,6292.51,12621.14,576
2024-09 | P03,2024-09,P03,5657.04,10386.24,540
2024-09 | P04,2024-09,P04,6312.92,12598.04,496
2024-09 | P05,2024-09,P05,5604.1,11846.96,716
2024-09 | P06,2024-09,P06,5731.41,10381.62,529
2024-09 | P07,2024-09,P07,3919.14,11910.79,419
2024-09 | P08,2024-09,P08,4062.56,11797.13,507
2024-10 | P01,2024-10,P01,5623.75,11162.28,599
2024-10 | P02,2024-10,P02,5972.82,12837.1,586
2024-10 | P03,2024-10,P03,5752.63,13353.06,684
2024-10 | P04,2024-10,P04,6015.88,13721.58,542
2024-10 | P05,2024-10,P05,4714.27,12646.09,768
2024-10 | P06,2024-10,P06,4382.62,13711.02,673
2024-10 | P07,2024-10,P07,5807.59,11931.26,436
2024-10 | P08,2024-10,P08,6842.76,13273.24,580
2024-11 | P01,2024-11,P01,12874.28,12505.89,732
