month,product,region,channel,units,avg_price_eur,revenue_eur,ad_spend_eur,returns_pct
2024-01,P01,North,Online,551,18.43,10155.83,4138.08,3.1
2024-01,P01,North,Retail,490,18.5,9065.61,4812.46,2.93
2024-01,P01,South,Online,461,18.7,8620.21,4737.53,3.25
2024-01,P01,South,Retail,391,18.26,7141.55,3522.83,4.44
2024-01,P02,North,Online,484,22.57,10923.49,4565.76,1.84
2024-01,P02,North,Retail,479,21.64,10367.48,3997.19,3.79
2024-01,P02,South,Online,405,22.03,8922.52,6736.48,3.15
2024-01,P02,South,Retail,388,21.61,8384.84,4145.07,3.68
2024-01,P03,North,Online,513,19.64,10075.67,5061.84,3.31
2024-01,P03,North,Retail,458,19.89,9107.92,4360.28,3.3
2024-01,P03,South,Online,438,19.99,8754.3,5312.87,2.47
2024-01,P03,South,Retail,423,19.7,8331.68,3691.64,4.43
2024-01,P04,North,Online,454,25.38,11523.08,4463.01,3.37
2024-01,P04,North,Retail,402,25.37,10198.65,4070.26,3.6
2024-01,P04,South,Online,392,25.54,10010.6,4187.86,3.85
2024-01,P04,South,Retail,361,24.82,8958.68,4763.81,4.16
2024-01,P05,North,Online,598,16.65,9957.87,5748.9,3.5
2024-01,P05,North,Retail,568,16.53,9390.13,4532.55,3.04
2024-01,P05,South,Online,537,16.44,8825.64,4863.25,2.67
2024-01,P05,South,Retail,478,16.03,7662.03,2995.65,3.34
2024-01,P06,North,Online,501,19.94,9988.81,4416.36,3.19
2024-01,P06,North,Retail,469,19.95,9357.84,4420.2,4.2
2024-01,P06,South,Online,460,20.36,9365.86,6668.34,3.49
2024-01,P06,South,Retail,426,19.73,8405.78,2787.82,3.66
2024-01,P07,North,Online,383,27.41,10496.96,6385.89,3.79
2024-01,P07,North,Retail,325,28.53,9270.8,2849.58,4.37
2024-01,P07,South,Online,333,28.54,9503.71,5771.55,3.97
2024-01,P07,South,Retail,285,27.94,7962.35,2715.43,3.7
2024-01,P08,North,Online,473,23.96,11334.56,5589.3,3.5
2024-01,P08,North,Retail,402,23.72,9537.21,2976.8,3.04
2024-01,P08,South,Online,407,23.03,9374.85,4599.13,3.21
2024-01,P08,South,Retail,343,23.55,8076.29,4551.07,4.23
2024-02,P01,North,Online,528,18.13,9574.07,6942.44,3.38
2024-02,P01,North,Retail,473,18.44,8719.8,4663.83,4.09
2024-02,P01,South,Online,451,18.68,8426.09,6537.48,3.25
2024-02,P01,South,Retail,407,17.98,7319.67,3887.38,3.31
2024-02,P02,North,Online,468,21.35,9992.2,6420.56,2.45
2024-02,P02,North,Retail,427,21.37,9125.25,2837.42,3.74
2024-02,P02,South,Online,433,21.52,9317.14,6073.69,2.4
2024-02,P02,South,Retail,426,22.65,9648.98,3975.15,3.23
2024-02,P03,North,Online,550,20.31,11168.75,3933.01,2.63
2024-02,P03,North,Retail,510,19.93,10164.41,4366.32,4.37
2024-02,P03,South,Online,438,19.54,8556.48,3974.58,2.02
2024-02,P03,South,Retail,389,20.01,7781.95,4667.14,2.93
2024-02,P04,North,Online,442,25.01,11055.55,5025.64,3.54
2024-02,P04,North,Retail,397,25.86,10267.51,3855.58,3.89
2024-02,P04,South,Online,380,25.31,9619.29,4500.63,2.97
2024-02,P04,South,Retail,377,24.9,9386.74,4684.41,4.27
2024-02,P05,North,Online,629,15.98,10053.04,4625.93,2.7
2024-02,P05,North,Retail,573,16.35,9366.21,4692.82,3.87
2024-02,P05,South,Online,518,16.44,8514.87,6246.1,3.5
2024-02,P05,South,Retail,488,16.37,7987.36,4003.69,4.08
2024-02,P06,North,Online,494,20.57,10160.68,5948.12,3.52
2024-02,P06,North,Retail,482,19.45,9373.72,3617.19,4.58
2024-02,P06,South,Online,467,20.31,9486.31,6454.48,2.14
2024-02,P06,South,Retail,396,20.12,7965.64,3364.53,2.97
2024-02,P07,North,Online,377,27.91,10521.05,6694.3,2.79
2024-02,P07,North,Retail,361,28.22,10186.57,4179.39,4.04
2024-02,P07,South,Online,310,28.55,8850.45,6350.51,3.65
2024-02,P07,South,Retail,297,28.22,8380.29,3325.05,4.07
2024-02,P08,North,Online,472,24.05,11353.11,6542.35,3.3
2024-02,P08,North,Retail,440,23.23,10222.43,2914.59,4.16
2024-02,P08,South,Online,411,24.06,9887.62,5593.01,1.9
2024-02,P08,South,Retail,366,22.84,8361.17,3903.81,4.16
2024-03,P01,North,Online,616,18.61,11463.19,5652.63,2.41
2024-03,P01,North,Retail,498,18.0,8965.69,4828.07,4.12
2024-03,P01,South,Online,491,18.92,9288.71,5057.13,2.39
2024-03,P01,South,Retail,472,18.31,8642.44,4620.22,2.91
2024-03,P02,North,Online,571,21.87,12490.6,4664.74,2.09
2024-03,P02,North,Retail,515,21.56,11102.25,3343.71,4.2
2024-03,P02,South,Online,496,22.04,10931.78,4320.78,1.88
2024-03,P02,South,Retail,416,22.31,9279.08,4710.86,3.74
2024-03,P03,North,Online,522,19.38,10118.07,4188.86,2.09
