Identifiant;Titre;Description;Domaine;Sous-domaine;Type de producteur;Direction;Service;Sous-direction / département;Boîte fonctionnelle;Précision domaine;Mots-clés;Données géolocalisées;Lien1;Lien2;Fréquence de mise à jour;Volumétrie;Type de format;Autres formats;Couverture géographique1;Couverture géographique2;Statut ouverture;Date de mise à jour;Actif / Inactif;Couverture géographique;Perspectives de diffusion
CAT-0052;Films en première exclusivité- Données statistiques;Nombre de films et nombre moyen d'établissements en première semaine selon le type de films depuis 1996;Audiovisuel;Film et cinéma;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/professionnels/etudes-et-rapports/statistiques/statistiques-par-secteur;En continu;;XLS;;France métropolitaine;;Ouvert;2021-11-15;Actif;France métropolitaine;Ouvrable
CAT-0059;Exploitation cinématographique  - Données par unité urbaine;Parc et résultats de fréquentation des cinémas selon l'unité urbaine d'implantation selon critères établissements (total, Art et Essai);Audiovisuel;Film et cinéma;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/professionnels/etudes-et-rapports/statistiques/statistiques-par-secteur;En continu;;XLS;;France métropolitaine;;Ouvert;2021-11-15;Actif;France métropolitaine;Ouvrable
CAT-0066;Exportation des films - Données statistiques;Recettes d'exportation des films français selon les zones géographiques depuis 2003;Audiovisuel;Film et cinéma;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/professionnels/etudes-et-rapports/statistiques/statistiques-par-secteur;En continu;;XLS;;France entière;Monde;Ouvert;2021-11-15;Actif;France entière,Monde;Ouvrable
CAT-0090;Géographie du cinéma - Départements;Cartographie interactive selon le département : parc, fréquentation, taux d'occupation des fauteuils;Audiovisuel;Film et cinéma;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/cinema/etudes-et-rapports/statistiques/geographie-du-cinema-departements;En continu;;;;France métropolitaine;;Ouvert;2021-11-15;Actif;France métropolitaine;Ouvrable
CAT-0323;Base Etat-civil concernant les français établis en outre-mer;Images numérisées des actes d’état-civil centenaires concernant les français établis outre-mer;Archives;;Service à compétence nationale;Archives nationales d’Outre-Mer;;;data-snum@culture.gouv.fr;Etat-civil;;;;http://anom.archivesnationales.culture.gouv.fr/caomec2/;En continu;1915050 images;CSV;sql;France entière;;Non ouvert;2021-11-15;Actif;France entière;Ouvrable
CAT-0334;Base de données géographique par type de lieu;Base de données géographique interrogeable au type de lieu (île, fleuve, route, département…);Archives;;Service à compétence nationale;Archives nationales d’Outre-Mer;;;data-snum@culture.gouv.fr;;;Oui;;http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=;Aucune;11702 fiches;CSV;;France entière;;Non ouvert;2021-11-15;Actif;France entière;Ouvrable
CAT-0679;Nombre de jardins remarquables de Nouvelle-Aquitaine;Nombre de jardins remarquables;Patrimoine;;Direction régionale des affaires culturelles;DRAC Nouvelle Aquitaine;;;data-snum@culture.gouv.fr;;label et appellation;;;;En continu;;;;Nouvelle-Aquitaine;;Non ouvert;2021-11-15;Actif;Nouvelle-Aquitaine;Ouvrable
CAT-0013;Rapports d'opérations archéologiques numérisés de Normandie;"Chaque opération archéologique fait l'objet d'un rapport, remis par l'opérateur dans le cadre de l'archéologie préventive ou par le Responsable d'opération dans le cadre de l'archéologie programmée. En Normandie, les rapports anciens ont tous été numérisés ; les rapports récents sont numériques nativement";Patrimoine;Archéologie;Direction régionale des affaires culturelles;DRAC Normandie;;;sra.normandie@culture.gouv.fr;;;;;;En continu;;ODS;;Normandie;;Non ouvert;2021-11-15;Actif;Normandie;Ouvrable
CAT-0067;Audience de la télévision;Durée d'écoute, part d'audience des chaînes, part de l'offre et de la consommation selon le genre de programmes depuis 1998;Audiovisuel;Télévision;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/professionnels/etudes-et-rapports/statistiques/statistiques-par-secteur;En continu;;XLS;;France métropolitaine;;Ouvert;2021-11-15;Actif;France métropolitaine;Ouvrable
CAT-0068;Financement de la télévision;Contribution à l'audiovisuel public, recettes publicitaires des chaînes, recettes des abonnements à Canal+;Audiovisuel;Télévision;Administration centrale;Centre national du cinéma et de l'image animée (CNC);CNC;DESPRO;data-snum@culture.gouv.fr;;;;;https://www.cnc.fr/professionnels/etudes-et-rapports/statistiques/statistiques-par-secteur;En continu;;XLS;;France métropolitaine;France entière;Ouvert;2021-11-15;Actif;France métropolitaine,France entière;Ouvrable
