Étiquettes,chemistry,economics,literature,medicine,peace,physics,Total
1901,1,,1,1,2,1,6
1902,1,,1,1,2,2,7
1903,1,,1,1,1,3,7
1904,1,,2,1,,1,5
1905,1,,1,1,1,1,5
1906,1,,1,2,1,1,6
1907,1,,1,1,2,1,6
1908,1,,1,3,2,1,8
1909,1,,1,1,2,2,7
1910,1,,1,1,,1,4
1911,1,,1,1,2,1,6
1912,2,,1,1,1,1,6
1913,1,,1,1,1,1,5
1914,1,,,1,,1,3
1915,1,,1,,,2,4
1916,,,1,,,,1
1917,,,2,,,1,3
1918,1,,,,,1,2
1919,,,1,1,1,1,4
1920,1,,1,1,1,1,5
1921,1,,1,,2,1,5
1922,1,,1,2,1,1,6
1923,1,,1,2,,1,5
1924,,,1,1,,1,3
1925,1,,1,,2,2,6
1926,1,,1,1,2,1,6
1927,1,,1,1,2,2,7
1928,1,,1,1,,1,4
1929,2,,1,2,1,1,7
1930,1,,1,1,1,1,5
1931,4,,1,1,2,,8
1932,1,,1,2,,1,5
1933,,,1,1,1,2,5
1934,1,,1,4,1,,7
1935,2,,,1,1,1,5
1936,2,,1,2,,2,7
1937,2,,1,1,1,2,7
1938,2,,1,1,,1,5
1939,3,,1,1,,1,6
1943,1,,,2,,1,4
1944,1,,1,2,,1,5
1945,1,,1,3,1,1,7
1946,3,,1,1,2,1,8
1947,1,,1,3,,1,6
1948,1,,1,1,,1,4
1949,1,,1,3,1,2,8
1950,2,,1,3,1,1,8
1951,2,,1,1,1,2,7
1952,2,,1,1,1,2,7
1953,2,,1,3,1,1,8
1954,1,,1,4,,3,9
1955,1,,1,1,,2,5
1956,2,,1,4,,3,10
1957,1,,1,1,1,2,6
1958,1,,1,3,1,5,11
1959,1,,1,2,1,2,7
1960,1,,1,2,1,1,6
1961,1,,1,1,1,3,7
1962,2,,1,3,1,1,8
1963,2,,1,3,,3,9
1964,1,,1,2,1,3,8
1965,1,,1,3,,3,8
1966,1,,2,2,,1,6
1967,3,,1,3,,1,8
1968,1,,1,3,1,1,7
1969,2,2,1,3,,1,9
1970,1,1,1,3,1,2,9
1971,1,1,1,1,1,1,6
1972,3,2,1,2,,3,11
1973,2,1,1,3,2,3,12
1974,1,2,2,4,2,2,13
1975,2,2,1,3,1,3,12
1976,1,1,1,2,2,2,9
1977,2,2,1,3,,3,11
1978,1,1,1,3,2,3,11
1979,2,2,1,2,1,4,12
1980,3,1,1,3,,2,10
1981,2,1,1,3,,3,10
1982,1,1,1,3,2,1,9
1983,1,1,1,1,1,2,7
1984,1,1,1,3,1,2,9
1985,2,1,1,2,,1,7
1986,3,1,1,2,1,3,11
1987,4,1,1,1,1,2,10
1988,4,1,1,3,,3,12
1989,2,1,1,2,1,3,10
1990,1,3,1,2,1,3,11
1991,1,1,1,2,1,1,7
1992,1,1,1,2,1,2,8
1993,2,2,1,2,2,2,11
1994,1,3,1,2,3,2,12
1995,3,1,1,3,1,2,11
1996,3,2,1,2,2,3,13
1997,3,2,1,1,1,4,12
1998,2,1,1,3,2,3,12
1999,1,1,1,2,,2,7
2000,3,2,1,3,1,3,13
2001,3,3,1,3,1,3,14
2002,4,2,1,3,1,3,14
2003,3,2,1,2,1,3,12
2004,3,4,1,2,1,3,14
2005,3,2,1,3,1,5,15
2006,1,1,1,2,1,2,8
2007,1,3,1,4,1,3,13
2008,5,1,1,3,1,4,15
2009,4,3,1,5,1,4,18
2010,3,4,1,1,1,2,12
2011,1,2,1,4,3,5,16
2012,3,3,1,3,,4,14
2013,4,3,1,5,,2,15
2014,4,1,1,3,2,4,15
2015,5,1,1,3,,2,12
2016,3,2,1,1,1,3,11
2017,3,1,1,4,,6,15
Total général,197,84,114,231,102,228,956
